CustomerID,PurchaseFrequency,AvgOrderValue,TotalItems,LastPurchase,Recency
12347.0,7,23.681318681318682,2458,2011-12-07 15:52:00,1
12349.0,1,24.076027397260273,631,2011-11-21 09:51:00,18
12350.0,1,19.670588235294115,197,2011-02-02 16:01:00,309
12352.0,8,29.482823529411764,536,2011-11-03 14:37:00,35
12353.0,1,22.25,20,2011-05-19 17:47:00,203
12354.0,1,18.610344827586207,530,2011-04-21 13:11:00,231
12355.0,1,35.33846153846154,240,2011-05-09 13:49:00,213
12359.0,4,25.695887096774193,1622,2011-10-13 12:47:00,57
12360.0,3,20.63612403100775,1165,2011-10-18 15:22:00,51
12361.0,1,18.990000000000002,91,2011-02-25 13:51:00,286
12362.0,10,19.647481203007516,2229,2011-12-06 15:40:00,2
12363.0,2,24.0,408,2011-08-22 10:18:00,109
12364.0,4,15.448235294117646,1506,2011-12-02 10:22:00,7
12365.0,2,29.153636363636362,174,2011-02-21 14:04:00,290
12367.0,1,15.354545454545455,173,2011-12-05 16:48:00,3
12370.0,4,21.231676646706585,2353,2011-10-19 14:51:00,50
12371.0,2,29.96761904761905,591,2011-10-26 10:16:00,44
12372.0,3,24.962307692307693,794,2011-09-29 12:12:00,71
12373.0,1,26.042857142857144,197,2011-02-01 13:10:00,310
12374.0,1,22.513030303030305,342,2011-11-14 15:37:00,24
12375.0,2,26.91176470588235,178,2011-11-29 10:36:00,10
12377.0,2,21.144415584415583,944,2011-01-28 15:45:00,314
12378.0,1,18.30420091324201,2529,2011-08-02 10:34:00,129
12379.0,2,21.306,407,2011-09-19 10:09:00,81
12380.0,4,26.200096153846154,1127,2011-11-18 11:27:00,21
12381.0,5,21.21045977011494,808,2011-12-05 12:44:00,4
12383.0,5,18.69252525252525,1532,2011-06-08 08:02:00,184
12384.0,2,21.676666666666666,126,2011-11-11 08:39:00,28
12386.0,2,40.19,354,2011-01-06 12:37:00,337
12388.0,6,27.8066,1462,2011-11-24 12:30:00,15
12390.0,1,17.1825,353,2011-09-21 09:33:00,79
12391.0,1,4.6089,300,2011-11-18 12:07:00,21
12393.0,4,24.728125000000002,816,2011-09-28 15:41:00,71
12395.0,12,19.350192307692307,2118,2011-11-20 15:21:00,18
12397.0,2,19.126190476190477,1263,2011-11-04 09:52:00,35
12398.0,1,19.24305882352941,1394,2011-10-25 10:27:00,45
12399.0,4,18.790677966101697,1178,2011-08-12 13:15:00,118
12401.0,1,16.86,11,2011-02-09 13:50:00,302
12402.0,1,20.509090909090908,94,2011-01-20 13:49:00,322
12405.0,1,31.67388888888889,857,2011-07-14 08:52:00,148
12406.0,2,32.52666666666667,1818,2011-11-17 19:22:00,21
12407.0,5,22.183376623376624,1416,2011-10-21 10:11:00,49
12408.0,5,27.51,1409,2011-11-07 12:27:00,32
12410.0,2,26.666538461538458,211,2011-02-04 10:39:00,308
12412.0,3,20.112786885245903,829,2011-09-26 10:16:00,74
12413.0,3,19.95,286,2011-10-04 09:00:00,66
12414.0,3,31.244999999999997,300,2011-05-06 14:51:00,216
12417.0,9,19.005729166666665,1552,2011-12-06 14:52:00,2
12418.0,1,19.664117647058823,407,2011-08-19 11:08:00,112
12420.0,1,20.70310344827586,345,2011-10-07 08:55:00,63
12421.0,4,17.93422222222222,484,2011-11-24 09:07:00,15
12422.0,3,20.604102564102565,370,2011-09-05 09:48:00,95
12423.0,8,14.87448,1339,2011-12-09 10:10:00,0
12425.0,1,21.58888888888889,496,2011-09-22 17:31:00,77
12426.0,1,19.424333333333333,258,2011-05-29 12:26:00,194
12427.0,3,26.638709677419353,533,2011-11-18 08:56:00,21
12428.0,9,27.062789115646257,3536,2011-11-14 08:22:00,25
12429.0,4,38.66391752577319,1557,2011-11-30 17:22:00,8
12430.0,1,23.30909090909091,117,2011-10-27 15:09:00,42
12431.0,15,27.606170212765957,2906,2011-11-04 11:55:00,35
12433.0,7,31.847309523809525,11071,2011-12-09 10:02:00,0
12434.0,2,16.122799999999998,394,2011-09-16 12:38:00,84
12436.0,1,31.813125,211,2011-09-01 12:09:00,99
12437.0,18,24.88145728643216,2922,2011-12-08 11:35:00,1
12438.0,2,29.66173469387755,1180,2011-11-25 13:28:00,13
12441.0,1,15.77727272727273,121,2010-12-08 10:45:00,366
12442.0,1,14.338333333333333,182,2011-12-06 14:22:00,2
12444.0,5,28.440113636363638,1153,2011-11-18 13:23:00,20
12445.0,1,33.35,62,2011-11-17 18:43:00,21
12446.0,1,17.584385964912283,351,2011-10-13 12:50:00,57
12447.0,1,18.326538461538462,190,2011-04-10 13:25:00,242
12448.0,1,20.429545454545455,243,2011-10-26 13:46:00,43
12449.0,4,21.294712041884818,1553,2011-11-17 13:46:00,21
12450.0,2,24.735,128,2011-07-06 14:41:00,155
12451.0,5,25.524067796610172,6575,2011-11-29 08:40:00,10
12452.0,2,19.571363636363635,185,2011-11-23 10:28:00,16
12453.0,1,16.443953488372095,473,2011-07-28 14:08:00,133
12455.0,6,27.409555555555556,2089,2011-09-27 15:31:00,72
12456.0,3,25.44832,1633,2011-10-26 14:41:00,43
12457.0,7,38.11661290322581,843,2011-10-04 13:13:00,65
12458.0,2,24.931578947368422,506,2011-09-29 15:25:00,70
12461.0,2,23.62514285714286,287,2011-09-06 16:57:00,93
12462.0,2,19.186935483870965,536,2011-11-21 09:11:00,18
12463.0,4,16.202168674698793,776,2011-10-17 13:44:00,52
12464.0,8,41.79482758620689,112,2011-11-29 13:33:00,9
12465.0,2,15.79127659574468,479,2011-11-22 16:34:00,16
12468.0,2,19.19842105263158,366,2011-06-05 11:36:00,187
12471.0,30,43.09576086956522,8212,2011-12-07 15:43:00,1
12472.0,7,19.386755162241887,4148,2011-11-07 14:01:00,31
12473.0,5,23.443749999999998,2439,2011-11-10 13:46:00,28
12474.0,18,17.395731132075472,4847,2011-11-22 14:39:00,16
12475.0,1,20.093888888888888,535,2011-10-17 10:10:00,53
12476.0,11,29.255021459227468,2408,2011-11-24 12:40:00,15
12478.0,1,18.91638888888889,236,2011-12-06 09:56:00,3
12479.0,1,17.006451612903227,385,2011-11-28 13:26:00,10
12480.0,4,21.309285714285714,1707,2011-11-11 14:52:00,27
12481.0,10,25.789493087557602,3304,2011-11-17 08:29:00,22
12483.0,8,33.133066666666664,1110,2011-11-22 17:02:00,16
12484.0,6,13.126358381502891,2191,2011-11-07 11:37:00,32
12488.0,3,23.612000000000002,529,2011-11-30 08:50:00,9
12489.0,1,22.328666666666667,105,2011-01-07 13:13:00,335
12490.0,10,22.114,3064,2011-12-04 16:07:00,4
